traceroute to ocsp.pki.goog (142.250.75.3), 64 hops max, 52 byte packets
 192.168.1.1  1.046 ms * *
 192.168.88.1  1.713 ms  1.823 ms  1.767 ms
 10.0.255.255  5.022 ms  4.977 ms  5.082 ms
 194.33.189.55  1.964 ms  2.097 ms  2.176 ms
 194.33.189.27  2.279 ms  2.346 ms  2.396 ms
 108.170.248.154  3.032 ms  3.244 ms  3.184 ms
 72.14.234.181  15.554 ms  15.498 ms  15.415 ms
 142.250.37.209  17.098 ms  17.037 ms  17.075 ms
 142.250.238.3  16.120 ms  16.233 ms  16.568 ms
 142.250.75.3  15.423 ms  15.542 ms  15.523 ms
