traceroute to api.snapkit.com (216.58.215.115), 64 hops max, 52 byte packets
 192.168.1.1  1.020 ms * *
 192.168.88.1  1.589 ms  1.650 ms  1.678 ms
 10.0.255.255  1.913 ms  2.138 ms  2.063 ms
 194.33.189.55  2.461 ms  2.523 ms  2.673 ms
 194.33.189.27  2.348 ms  2.432 ms  2.524 ms
 108.170.248.155  10.369 ms  10.312 ms  10.287 ms
 216.239.46.121  16.138 ms  16.156 ms  16.193 ms
 108.170.250.193  16.348 ms  16.388 ms  16.350 ms
 108.170.234.245  16.509 ms  16.478 ms  16.616 ms
 216.58.215.115  15.735 ms  15.871 ms  15.847 ms
