traceroute to api.mixpanel.com (35.186.241.51), 64 hops max, 52 byte packets
 192.168.1.1  1.095 ms * *
 192.168.88.1  2.448 ms  2.742 ms  2.755 ms
 10.0.255.255  5.972 ms  6.088 ms  6.102 ms
 194.33.189.55  6.087 ms  6.102 ms  6.074 ms
 194.33.189.27  6.210 ms  6.184 ms  6.264 ms
 108.170.248.138  6.572 ms  7.404 ms  7.547 ms
 142.251.224.82  20.224 ms  20.321 ms  20.299 ms
 142.251.77.181  20.345 ms  20.272 ms  20.266 ms
 74.125.242.225  21.218 ms  21.182 ms  21.314 ms
 209.85.255.243  19.978 ms  19.994 ms  19.964 ms
 35.186.241.51  19.996 ms  20.060 ms  20.030 ms
