traceroute to www.youtube.com (142.250.203.142), 64 hops max, 52 byte packets
 192.168.1.1  1.214 ms * *
 192.168.88.1  1.932 ms  2.035 ms  2.042 ms
 10.0.255.255  4.277 ms  4.276 ms  4.284 ms
 194.33.189.55  3.338 ms  3.233 ms  3.139 ms
 194.33.189.27  2.062 ms  2.159 ms  2.101 ms
 108.170.248.154  2.289 ms  2.155 ms  2.197 ms
 72.14.234.181  15.633 ms  15.624 ms  15.594 ms
 142.250.37.193  15.544 ms  15.554 ms  15.534 ms
 209.85.253.225  15.485 ms  15.753 ms  15.729 ms
 142.250.203.142  15.489 ms  15.485 ms  15.869 ms
