traceroute to ocsp.pki.goog (172.217.16.35), 64 hops max, 52 byte packets
 1 192.168.1.1  1.200 ms * *
 2 192.168.88.1  1.995 ms  2.143 ms  2.177 ms
 3 10.0.255.255  3.074 ms  3.249 ms  3.297 ms
 4 194.33.189.55  3.318 ms  3.346 ms  4.873 ms
 5 194.33.189.27  4.828 ms  4.812 ms  4.802 ms
 6 108.170.248.138  4.860 ms  4.825 ms  4.764 ms
 7 216.239.46.121  19.489 ms  19.528 ms  20.228 ms
 8 108.170.250.209  19.751 ms  19.681 ms  19.716 ms
 9 216.239.41.133  20.272 ms  20.222 ms  20.053 ms
10 172.217.16.35  18.763 ms  18.754 ms  18.747 ms
