traceroute to googleadservices.com (142.250.203.130), 64 hops max, 52 byte packets
 1 192.168.1.1  1.038 ms * *
 2 192.168.88.1  1.873 ms  1.866 ms  1.942 ms
 3 10.0.255.255  3.119 ms  3.206 ms  3.195 ms
 4 194.33.189.55  4.592 ms  4.753 ms  4.854 ms
 5 194.33.189.27  3.169 ms  3.155 ms  3.346 ms
 6 108.170.248.139  4.668 ms  4.612 ms  4.652 ms
 7 72.14.234.181  16.715 ms  16.793 ms  16.752 ms
 8 142.250.37.193  16.486 ms  16.481 ms  16.551 ms
 9 209.85.253.225  16.631 ms  16.569 ms  16.756 ms
10 142.250.203.130  16.661 ms  16.669 ms  16.648 ms
