traceroute to api.snapkit.com (216.58.215.115), 64 hops max, 52 byte packets
 1 192.168.1.1  1.105 ms * *
 2 192.168.88.1  1.624 ms  1.893 ms  1.836 ms
 3 10.0.255.255  9.450 ms  9.374 ms  9.296 ms
 4 194.33.189.55  2.864 ms  2.807 ms  2.717 ms
 5 194.33.189.27  2.702 ms  2.676 ms  2.706 ms
 6 108.170.248.155  3.962 ms  4.015 ms  4.078 ms
 7 216.239.46.121  16.956 ms  17.080 ms  17.249 ms
 8 108.170.250.193  16.832 ms  16.807 ms  16.777 ms
 9 108.170.234.245  16.830 ms  16.855 ms  16.793 ms
10 216.58.215.115  16.881 ms  16.937 ms  16.887 ms
