traceroute to www.youtube.com (172.217.16.46), 64 hops max, 52 byte packets
 1 192.168.1.1  1.392 ms * *
 2 192.168.88.1  1.514 ms  1.597 ms  1.601 ms
 3 10.0.255.255  2.261 ms  2.344 ms  2.162 ms
 4 194.33.189.55  1.935 ms  1.957 ms  1.999 ms
 5 194.33.189.27  2.287 ms  2.315 ms  2.324 ms
 6 108.170.248.138  2.285 ms  2.569 ms  2.645 ms
 7 216.239.46.121  16.289 ms  16.561 ms  16.514 ms
 8 108.170.250.209  17.350 ms  17.314 ms  17.589 ms
 9 216.239.41.133  17.688 ms  17.819 ms  17.780 ms
10 172.217.16.46  15.858 ms  15.829 ms  15.948 ms
