traceroute to api.snapkit.com (216.58.215.115), 64 hops max, 52 byte packets
 1 192.168.1.1  1.096 ms * *
 2 192.168.88.1  1.870 ms  2.015 ms  2.306 ms
 3 10.0.255.255  2.282 ms  2.243 ms  2.196 ms
 4 194.33.189.55  2.808 ms  2.907 ms  2.874 ms
 5 194.33.189.27  17.470 ms  17.417 ms  17.365 ms
 6 108.170.248.155  2.831 ms  2.992 ms  3.104 ms
 7 216.239.46.121  16.845 ms  16.788 ms  16.605 ms
 8 108.170.250.193  16.378 ms  16.319 ms  16.177 ms
 9 108.170.234.245  16.639 ms  16.411 ms  16.470 ms
10 216.58.215.115  15.660 ms  15.650 ms  15.628 ms
