traceroute to archive.org (207.241.224.2), 64 hops max, 52 byte packets
 192.168.1.1  0.850 ms * *
 192.168.88.1  1.724 ms  1.764 ms  1.738 ms
 10.0.255.255  2.286 ms  2.389 ms  2.483 ms
 194.33.189.15  2.383 ms  2.387 ms  2.367 ms
 87.245.247.158  2.638 ms  2.821 ms  2.798 ms
 87.245.232.217  15.943 ms  15.893 ms  15.834 ms
 193.188.137.175  20.969 ms  20.929 ms  20.861 ms
 184.104.194.94  20.918 ms  20.833 ms  20.737 ms
 72.52.92.205  20.834 ms  20.754 ms  20.967 ms
 184.105.65.5  37.534 ms  37.511 ms  37.471 ms
 72.52.92.113  107.947 ms  107.904 ms  107.798 ms
 184.104.197.54  107.701 ms  107.699 ms  107.734 ms
 184.105.81.61  171.692 ms  171.748 ms  171.724 ms
 184.105.81.86  193.059 ms  193.068 ms  193.216 ms
 64.71.160.46  172.378 ms  172.367 ms  172.439 ms
 207.241.224.2  173.379 ms  173.554 ms  173.549 ms
