traceroute to swcdn.apple.com (17.253.73.201), 64 hops max, 52 byte packets
 1 192.168.1.1  0.892 ms  1.119 ms  1.193 ms
 2 192.168.88.1  2.305 ms  2.360 ms  2.402 ms
 3 10.0.255.255  3.603 ms  3.686 ms  3.784 ms
 4 194.33.189.15  3.801 ms  3.815 ms  3.840 ms
 5 87.245.247.158  5.436 ms  5.464 ms  5.462 ms
 6 87.245.233.39  25.174 ms  25.094 ms  25.041 ms
 7 17.1.99.20  24.407 ms  24.356 ms  24.308 ms
 8 17.0.99.64  31.916 ms  32.039 ms  31.995 ms
 9 17.253.73.201  24.906 ms  24.925 ms  24.987 ms
