traceroute to www.google.com (172.217.16.4), 64 hops max, 52 byte packets
 192.168.1.1  1.199 ms * *
 192.168.88.1  1.382 ms  1.763 ms  1.782 ms
 10.0.255.255  1.911 ms  1.826 ms  1.955 ms
 194.33.189.55  2.140 ms  2.222 ms  2.226 ms
 194.33.189.27  2.171 ms  2.135 ms  2.038 ms
 108.170.248.155  2.078 ms  1.974 ms  2.231 ms
 142.250.227.43  15.572 ms  15.501 ms  15.415 ms
 108.170.250.193  16.193 ms  16.095 ms  16.102 ms
 216.239.40.43  16.947 ms  16.851 ms  16.800 ms
 172.217.16.4  16.023 ms  15.821 ms  16.047 ms
