traceroute to googleadservices.com (142.250.203.194), 64 hops max, 52 byte packets
 1 192.168.1.1  0.933 ms * *
 2 192.168.88.1  1.694 ms  1.651 ms  1.790 ms
 3 10.0.255.255  2.026 ms  2.329 ms  2.494 ms
 4 194.33.189.55  2.500 ms  2.458 ms  2.490 ms
 5 194.33.189.27  2.737 ms  2.789 ms  2.745 ms
 6 108.170.248.138  2.778 ms  3.358 ms  3.477 ms
 7 142.250.227.43  16.023 ms  16.003 ms  15.944 ms
 8 108.170.250.193  16.214 ms  16.411 ms  16.316 ms
 9 209.85.250.175  15.923 ms  16.005 ms  15.964 ms
10 142.250.203.194  16.470 ms  16.700 ms  16.682 ms
