traceroute to time.euro.apple.com (17.253.54.253), 64 hops max, 52 byte packets
 192.168.1.1  1.116 ms  1.129 ms *
 192.168.88.1  1.987 ms  2.091 ms  2.126 ms
 10.0.255.255  2.205 ms  2.363 ms  2.500 ms
 194.33.189.15  2.461 ms  2.374 ms  2.323 ms
 87.245.247.158  2.459 ms  2.387 ms  2.456 ms
 87.245.232.233  32.131 ms  32.310 ms  32.369 ms
 17.1.164.54  30.128 ms  30.151 ms  30.065 ms
 17.0.165.9  30.227 ms  30.295 ms  30.236 ms
 17.253.54.9  30.232 ms  30.131 ms  30.092 ms
 17.253.54.253  30.004 ms  30.071 ms  30.142 ms
