traceroute to ocsp.pki.goog (172.217.16.35), 64 hops max, 52 byte packets
 1 192.168.1.1  0.914 ms  1.032 ms *
 2 192.168.88.1  1.759 ms  1.864 ms  1.916 ms
 3 10.0.255.255  2.263 ms  2.344 ms  2.418 ms
 4 194.33.189.55  2.331 ms  2.251 ms  2.167 ms
 5 194.33.189.27  2.455 ms  2.663 ms  2.762 ms
 6 108.170.248.138  2.999 ms  3.126 ms  3.163 ms
 7 216.239.46.121  16.406 ms  16.342 ms  16.402 ms
 8 108.170.250.209  16.698 ms  16.633 ms  16.676 ms
 9 216.239.41.133  16.512 ms  16.548 ms  16.621 ms
10 172.217.16.35  15.277 ms  15.122 ms  15.150 ms
