traceroute to googleadservices.com (172.217.16.2), 64 hops max, 52 byte packets
 192.168.1.1  1.520 ms * *
 192.168.88.1  1.682 ms  1.819 ms  1.855 ms
 10.0.255.255  2.583 ms  2.857 ms  2.838 ms
 194.33.189.55  3.014 ms  3.081 ms  3.104 ms
 194.33.189.27  3.105 ms  2.961 ms  2.761 ms
 108.170.248.138  2.360 ms  2.648 ms  2.868 ms
 216.239.46.121  16.535 ms  17.347 ms  17.444 ms
 108.170.250.193  16.278 ms  16.226 ms  16.178 ms
 216.239.40.43  16.323 ms  16.253 ms  16.547 ms
 172.217.16.2  15.339 ms  15.318 ms  15.371 ms
