traceroute to notify.bugsnag.com (35.186.205.6), 64 hops max, 52 byte packets
 192.168.1.1  1.156 ms * *
 192.168.88.1  1.627 ms  1.701 ms  1.657 ms
 10.0.255.255  2.509 ms  2.557 ms  2.563 ms
 194.33.189.55  7.117 ms  7.050 ms  6.974 ms
 194.33.189.27  3.763 ms  4.331 ms  4.299 ms
 108.170.248.155  2.622 ms  2.731 ms  3.327 ms
 142.251.224.82  16.620 ms  16.623 ms  17.044 ms
 74.125.242.225  17.550 ms  17.518 ms  17.590 ms
 142.251.228.27  16.243 ms  16.195 ms  16.120 ms
 35.186.205.6  16.088 ms  16.284 ms  16.265 ms
