traceroute to www.google.com.ua (216.58.215.99), 64 hops max, 52 byte packets
 1 192.168.1.1  1.174 ms * *
 2 192.168.88.1  1.518 ms  1.512 ms  1.516 ms
 3 10.0.255.255  2.080 ms  2.029 ms  2.113 ms
 4 194.33.189.55  2.189 ms  2.292 ms  2.240 ms
 5 194.33.189.27  2.382 ms  2.465 ms  2.519 ms
 6 108.170.248.155  4.324 ms  4.365 ms  4.395 ms
 7 142.250.227.43  15.920 ms  15.766 ms  15.678 ms
 8 108.170.250.209  16.727 ms  16.668 ms  16.484 ms
 9 108.170.234.247  16.450 ms  16.363 ms  16.258 ms
10 216.58.215.99  15.275 ms  15.463 ms  15.398 ms
