traceroute to www.google.com (172.217.16.36), 64 hops max, 52 byte packets
 1 192.168.1.1  1.071 ms * *
 2 192.168.88.1  1.454 ms  1.673 ms  1.738 ms
 3 10.0.255.255  2.664 ms  2.734 ms  2.582 ms
 4 194.33.189.55  2.061 ms  2.469 ms  2.521 ms
 5 194.33.189.27  4.310 ms  4.299 ms  4.298 ms
 6 108.170.248.155  2.901 ms  2.841 ms  2.882 ms
 7 216.239.46.121  16.613 ms  16.577 ms  16.532 ms
 8 108.170.250.209  16.540 ms  16.504 ms  16.431 ms
 9 216.239.41.133  16.209 ms  16.136 ms  16.729 ms
10 172.217.16.36  16.401 ms  16.560 ms  16.666 ms
