traceroute to notify.bugsnag.com (35.186.205.6), 64 hops max, 52 byte packets
 1 192.168.1.1  1.063 ms * *
 2 192.168.88.1  1.584 ms  1.674 ms  1.704 ms
 3 10.0.255.255  2.131 ms  2.121 ms  2.142 ms
 4 194.33.189.55  2.858 ms  3.068 ms  3.009 ms
 5 194.33.189.27  1.846 ms  1.972 ms  2.153 ms
 6 108.170.248.155  7.682 ms  7.635 ms  7.571 ms
 7 142.251.224.82  33.796 ms  33.685 ms  33.549 ms
 8 74.125.242.225  16.948 ms  16.813 ms  16.741 ms
 9 142.251.228.27  16.026 ms  16.005 ms  15.945 ms
10 35.186.205.6  15.827 ms  15.942 ms  15.914 ms
