traceroute to www.google.com (172.217.16.4), 64 hops max, 52 byte packets
 1 192.168.1.1  1.086 ms * *
 2 192.168.88.1  1.552 ms  1.612 ms  1.625 ms
 3 10.0.255.255  1.930 ms  2.527 ms  2.501 ms
 4 194.33.189.55  2.446 ms  2.351 ms  2.389 ms
 5 194.33.189.27  8.600 ms  8.583 ms  8.551 ms
 6 108.170.248.155  2.901 ms  2.955 ms  2.957 ms
 7 142.250.227.43  16.184 ms  16.149 ms  16.116 ms
 8 108.170.250.193  16.397 ms  16.374 ms  16.435 ms
 9 216.239.40.43  16.701 ms  16.640 ms  16.701 ms
10 172.217.16.4  16.262 ms  16.614 ms  16.669 ms
