traceroute to googleadservices.com (172.217.16.2), 64 hops max, 52 byte packets
 1 192.168.1.1  1.401 ms * *
 2 192.168.88.1  1.522 ms  1.928 ms  1.961 ms
 3 10.0.255.255  2.240 ms  2.336 ms  2.398 ms
 4 194.33.189.55  2.687 ms  2.671 ms  2.610 ms
 5 194.33.189.27  8.743 ms  8.698 ms  8.637 ms
 6 108.170.248.138  2.528 ms  2.552 ms  2.883 ms
 7 216.239.46.121  17.000 ms  19.461 ms  19.500 ms
 8 108.170.250.193  17.001 ms  16.933 ms  17.315 ms
 9 216.239.40.43  17.477 ms  18.823 ms  18.779 ms
10 172.217.16.2  16.849 ms  16.831 ms  16.732 ms
