traceroute to googleadservices.com (216.58.215.98), 64 hops max, 52 byte packets
 192.168.1.1  0.949 ms * *
 192.168.88.1  1.627 ms  1.621 ms  2.215 ms
 10.0.255.255  2.116 ms  2.637 ms  2.778 ms
 194.33.189.55  2.705 ms  2.751 ms  2.705 ms
 194.33.189.27  36.526 ms  36.470 ms  36.502 ms
 108.170.248.138  2.932 ms  2.987 ms  2.985 ms
 142.250.227.43  16.168 ms  16.146 ms  16.067 ms
 108.170.250.209  17.526 ms  17.619 ms  17.709 ms
 108.170.234.247  16.759 ms  16.837 ms  16.918 ms
 216.58.215.98  15.746 ms  16.062 ms  15.983 ms
