traceroute to ocsp.pki.goog (172.217.16.35), 64 hops max, 52 byte packets
 192.168.1.1  0.898 ms * *
 192.168.88.1  1.874 ms  1.873 ms  1.896 ms
 10.0.255.255  7.608 ms  7.589 ms  7.595 ms
 194.33.189.55  3.340 ms  3.301 ms  3.222 ms
 194.33.189.27  3.176 ms  3.105 ms  3.064 ms
 108.170.248.138  4.056 ms  4.107 ms  4.167 ms
 216.239.46.121  16.752 ms  17.259 ms  17.189 ms
 108.170.250.209  18.124 ms  18.103 ms  18.257 ms
 216.239.41.133  17.013 ms  17.294 ms  17.264 ms
 172.217.16.35  16.250 ms  16.334 ms  16.319 ms
