traceroute to api.snapkit.com (216.58.215.115), 64 hops max, 52 byte packets
 192.168.1.1  0.860 ms * *
 192.168.88.1  1.269 ms  1.340 ms  1.361 ms
 10.0.255.255  1.985 ms  2.022 ms  2.052 ms
 194.33.189.55  2.459 ms  2.402 ms  2.438 ms
 194.33.189.27  2.462 ms  2.522 ms  2.649 ms
 108.170.248.155  2.565 ms  2.550 ms  2.544 ms
 216.239.46.121  15.894 ms  16.132 ms  16.105 ms
 108.170.250.193  16.284 ms  16.811 ms  16.855 ms
 108.170.234.245  16.939 ms  16.998 ms  17.121 ms
 216.58.215.115  16.241 ms  16.205 ms  16.253 ms
