traceroute to app.adjust.net.in (185.151.204.30), 64 hops max, 52 byte packets
 1 192.168.1.1  0.994 ms * *
 2 192.168.88.1  1.493 ms  1.574 ms  1.799 ms
 3 10.0.255.255  1.972 ms  2.168 ms  2.159 ms
 4 194.33.189.15  7.733 ms  7.900 ms  7.929 ms
 5 87.245.247.158  3.590 ms  3.793 ms  3.834 ms
 6 * * *
 7 154.14.40.233  35.136 ms  35.038 ms  34.943 ms
 8 213.200.117.218  38.645 ms  38.549 ms  38.457 ms
 9 77.67.81.78  38.344 ms  38.258 ms  38.176 ms
10 185.151.205.9  38.968 ms  38.908 ms  38.915 ms
11 185.151.207.245  39.170 ms  39.132 ms  39.138 ms
12 185.151.204.30  39.060 ms  39.133 ms  39.295 ms
