traceroute to swcdn.apple.com (17.253.73.206), 64 hops max, 52 byte packets
 192.168.1.1  1.181 ms  1.010 ms  0.962 ms
 192.168.88.1  1.454 ms  1.804 ms  1.841 ms
 10.0.255.255  3.759 ms  3.828 ms  3.844 ms
 194.33.189.15  2.595 ms  2.431 ms  2.303 ms
 87.245.247.158  2.806 ms  2.853 ms  2.824 ms
 87.245.233.39  24.101 ms  24.063 ms  24.107 ms
 193.178.185.19  23.269 ms  23.257 ms  23.228 ms
 17.0.99.65  23.179 ms  23.213 ms  23.189 ms
 17.253.73.206  22.907 ms  22.949 ms  23.078 ms
