traceroute to inbox.google.com (216.58.215.69), 64 hops max, 52 byte packets
 192.168.1.1  1.027 ms * *
 192.168.88.1  1.960 ms  2.066 ms  2.139 ms
 10.0.255.255  2.543 ms  2.969 ms  3.023 ms
 194.33.189.55  3.180 ms  3.000 ms  3.092 ms
 194.33.189.27  3.028 ms  3.127 ms  3.127 ms
 108.170.248.138  3.073 ms  3.071 ms  3.023 ms
 216.239.46.121  17.841 ms  17.892 ms  17.842 ms
 108.170.250.193  17.120 ms  17.062 ms  16.974 ms
 108.170.234.101  17.972 ms  17.984 ms  17.870 ms
 216.58.215.69  16.477 ms  16.300 ms  16.248 ms
