traceroute to www.google.com.ua (142.250.203.131), 64 hops max, 52 byte packets
 1 192.168.1.1  1.116 ms * *
 2 192.168.88.1  2.018 ms  2.050 ms  2.076 ms
 3 10.0.255.255  3.122 ms  3.108 ms  3.301 ms
 4 194.33.189.55  20.171 ms  20.134 ms  20.096 ms
 5 194.33.189.27  3.142 ms  5.005 ms  5.096 ms
 6 108.170.248.154  11.568 ms  11.493 ms  11.296 ms
 7 72.14.236.195  17.308 ms  17.405 ms  17.542 ms
 8 142.250.37.209  18.371 ms  18.458 ms  18.431 ms
 9 72.14.237.17  16.716 ms  17.019 ms  17.091 ms
10 142.250.203.131  16.546 ms  16.687 ms  16.681 ms
