traceroute to www.google.com (172.217.16.4), 64 hops max, 52 byte packets
 1 192.168.1.1  0.964 ms * *
 2 192.168.88.1  1.850 ms  1.944 ms  1.945 ms
 3 10.0.255.255  4.066 ms  4.098 ms  4.180 ms
 4 194.33.189.55  3.674 ms  3.675 ms  3.666 ms
 5 194.33.189.27  10.029 ms  10.009 ms  9.990 ms
 6 108.170.248.155  9.903 ms  9.894 ms  9.877 ms
 7 142.250.227.43  16.760 ms  16.754 ms  16.737 ms
 8 108.170.250.193  17.292 ms  17.280 ms  17.266 ms
 9 216.239.40.43  17.194 ms  17.270 ms  17.486 ms
10 172.217.16.4  17.287 ms  17.283 ms  17.353 ms
