traceroute to yahoo.com (74.6.143.25), 64 hops max, 52 byte packets
 192.168.1.1  0.998 ms * *
 192.168.88.1  1.607 ms  1.761 ms  2.103 ms
 10.0.255.255  2.222 ms  2.204 ms  2.320 ms
 194.33.189.15  2.505 ms  2.575 ms  2.538 ms
 87.245.247.158  2.468 ms  2.472 ms  2.827 ms
 87.245.233.113  111.826 ms  111.762 ms  111.718 ms
 198.32.160.121  115.027 ms  114.918 ms  114.754 ms
 209.191.64.165  115.931 ms  115.883 ms  115.943 ms
 74.6.227.37  121.822 ms  121.776 ms  121.813 ms
 74.6.122.57  118.618 ms  118.637 ms  118.536 ms
 74.6.123.237  117.592 ms  117.610 ms  117.573 ms
 74.6.98.138  114.494 ms  114.285 ms 74.6.98.139  122.176 ms
 74.6.143.25  118.624 ms  118.814 ms  118.799 ms
