traceroute to api.mixpanel.com (35.190.25.25), 64 hops max, 52 byte packets
 192.168.1.1  1.155 ms * *
 192.168.88.1  1.583 ms  1.978 ms  1.949 ms
 10.0.255.255  2.296 ms  2.559 ms  2.743 ms
 194.33.189.55  2.622 ms  2.654 ms  2.483 ms
 194.33.189.27  2.588 ms  2.732 ms  2.777 ms
 108.170.248.155  8.592 ms  8.589 ms  8.774 ms
 72.14.239.111  2.923 ms  2.860 ms  2.788 ms
 142.251.224.76  19.144 ms  19.077 ms  18.905 ms
 74.125.242.241  15.518 ms  15.557 ms  15.426 ms
 142.251.65.219  15.502 ms  15.435 ms  15.444 ms
 35.190.25.25  15.351 ms  15.533 ms  15.436 ms
