traceroute to inbox.google.com (142.250.75.5), 64 hops max, 52 byte packets
 192.168.1.1  1.148 ms * *
 192.168.88.1  1.692 ms  1.695 ms  1.726 ms
 10.0.255.255  2.082 ms  2.218 ms  2.203 ms
 194.33.189.55  2.340 ms  2.472 ms  2.535 ms
 194.33.189.27  2.515 ms  2.532 ms  2.697 ms
 108.170.248.154  2.669 ms  2.861 ms  2.913 ms
 72.14.236.195  16.548 ms  16.532 ms  16.467 ms
 142.250.37.193  16.106 ms  16.091 ms  16.049 ms
 142.250.238.1  16.732 ms  16.788 ms  16.778 ms
 142.250.75.5  16.031 ms  16.292 ms  16.277 ms
