traceroute to inbox.google.com (216.58.215.101), 64 hops max, 52 byte packets
 1 192.168.1.1  0.982 ms * *
 2 192.168.88.1  1.372 ms  1.855 ms  2.039 ms
 3 10.0.255.255  7.536 ms  7.511 ms  7.690 ms
 4 194.33.189.55  2.643 ms  2.759 ms  3.042 ms
 5 194.33.189.27  3.214 ms  3.204 ms  3.405 ms
 6 108.170.248.138  3.419 ms  3.372 ms  3.466 ms
 7 216.239.46.121  16.474 ms  16.484 ms  16.742 ms
 8 108.170.250.209  16.817 ms  16.840 ms  16.735 ms
 9 108.170.234.247  16.430 ms  16.636 ms  16.578 ms
10 216.58.215.101  15.590 ms  15.612 ms  15.548 ms
