traceroute to csi.gstatic.com (142.250.217.163), 64 hops max, 52 byte packets
 192.168.1.1  1.165 ms * *
 192.168.88.1  2.496 ms  2.634 ms  2.691 ms
 10.0.255.255  5.415 ms  5.426 ms  5.444 ms
 194.33.189.55  5.499 ms  5.631 ms  5.647 ms
 194.33.189.27  5.709 ms  5.765 ms  5.744 ms
 108.170.248.139  9.965 ms  10.029 ms  10.012 ms
 72.14.236.195  30.281 ms  30.274 ms  30.245 ms
 142.250.226.184  32.992 ms  33.110 ms  33.100 ms
 216.239.50.187  43.451 ms  43.487 ms  43.444 ms
 172.253.72.196  117.524 ms  117.604 ms  117.585 ms
 142.250.213.66  127.442 ms  127.486 ms  127.469 ms
 142.250.61.155  139.844 ms  139.966 ms  140.116 ms
 142.250.213.54  139.346 ms  139.419 ms  139.404 ms
 108.170.249.1  139.031 ms  139.129 ms  139.449 ms
 108.170.232.201  139.446 ms  139.423 ms  139.636 ms
 142.250.217.163  139.363 ms  139.630 ms  139.642 ms
