traceroute to www.youtube.com (216.58.215.110), 64 hops max, 52 byte packets
 192.168.1.1  1.207 ms * *
 192.168.88.1  2.109 ms  2.116 ms  2.261 ms
 10.0.255.255  4.586 ms  4.570 ms  4.498 ms
 194.33.189.55  11.929 ms  11.859 ms  11.808 ms
 194.33.189.27  3.996 ms  3.945 ms  3.876 ms
 108.170.248.138  3.799 ms  3.752 ms  3.832 ms
 216.239.46.121  20.460 ms  20.377 ms  20.496 ms
 108.170.250.193  19.989 ms  19.737 ms  19.675 ms
 108.170.234.245  19.610 ms  19.545 ms  19.623 ms
 216.58.215.110  19.587 ms  19.664 ms  19.638 ms
