traceroute to www.google.com.ua (216.58.215.99), 64 hops max, 52 byte packets
 192.168.1.1  1.206 ms * *
 192.168.88.1  1.497 ms  1.494 ms  1.707 ms
 10.0.255.255  2.899 ms  3.370 ms  3.305 ms
 194.33.189.55  3.340 ms  3.320 ms  3.181 ms
 194.33.189.27  2.997 ms  2.851 ms  2.802 ms
 108.170.248.155  2.814 ms  2.785 ms  2.786 ms
 142.250.227.43  15.689 ms  15.667 ms  15.635 ms
 108.170.250.209  16.641 ms  16.778 ms  16.746 ms
 108.170.234.247  16.865 ms  16.832 ms  17.129 ms
 216.58.215.99  15.817 ms  15.997 ms  15.974 ms
