traceroute to notify.bugsnag.com (35.186.205.6), 64 hops max, 52 byte packets
 192.168.1.1  1.179 ms * *
 192.168.88.1  1.550 ms  1.918 ms  2.251 ms
 10.0.255.255  2.330 ms  2.525 ms  2.590 ms
 194.33.189.55  3.660 ms  3.947 ms  3.917 ms
 194.33.189.27  2.367 ms  2.476 ms  2.617 ms
 108.170.248.155  2.858 ms  3.021 ms  3.564 ms
 142.251.224.82  16.669 ms  16.629 ms  17.135 ms
 74.125.242.225  18.721 ms  18.642 ms  18.561 ms
 142.251.228.27  16.703 ms  16.702 ms  16.678 ms
 35.186.205.6  16.021 ms  15.987 ms  15.951 ms
