traceroute to www.facebook.com (157.240.20.35), 64 hops max, 52 byte packets
 192.168.1.1  0.869 ms * *
 192.168.88.1  3.554 ms  3.548 ms  3.538 ms
 10.0.255.255  3.428 ms  3.423 ms  3.414 ms
 194.33.189.15  6.372 ms  6.365 ms  6.429 ms
 87.245.247.158  6.420 ms  6.412 ms  6.517 ms
 87.245.234.2  33.411 ms  33.405 ms  33.556 ms
 157.240.79.156  33.803 ms  33.886 ms  33.993 ms
 204.15.21.28  33.698 ms  33.693 ms  33.827 ms
 129.134.37.245  32.634 ms  32.633 ms  32.626 ms
 157.240.39.53  32.617 ms  32.706 ms  32.755 ms
 157.240.20.35  32.801 ms  33.008 ms  33.005 ms
