traceroute to www.google.com (172.217.16.4), 64 hops max, 52 byte packets
 192.168.1.1  0.974 ms * *
 192.168.88.1  1.771 ms  1.732 ms  1.819 ms
 10.0.255.255  2.351 ms  2.377 ms  2.902 ms
 194.33.189.55  2.388 ms  2.432 ms  2.676 ms
 194.33.189.27  2.611 ms  2.648 ms  2.653 ms
 108.170.248.155  2.566 ms  2.491 ms  2.505 ms
 142.250.227.43  15.745 ms  15.642 ms  15.532 ms
 108.170.250.193  15.990 ms  15.904 ms  15.917 ms
 216.239.40.43  16.347 ms  16.494 ms  17.140 ms
 172.217.16.4  16.329 ms  16.800 ms  16.754 ms
