traceroute to www.google.com.ua (216.58.215.99), 64 hops max, 52 byte packets
 192.168.1.1  0.907 ms * *
 192.168.88.1  1.556 ms  1.975 ms  2.212 ms
 10.0.255.255  2.194 ms  2.321 ms  2.470 ms
 194.33.189.55  2.436 ms  2.695 ms  2.600 ms
 194.33.189.27  2.484 ms  2.416 ms  2.371 ms
 108.170.248.155  2.709 ms  2.928 ms  3.001 ms
 142.250.227.43  16.069 ms  16.021 ms  15.934 ms
 108.170.250.209  17.473 ms  17.351 ms  17.585 ms
 108.170.234.247  16.171 ms  16.158 ms  16.293 ms
 216.58.215.99  15.352 ms  15.441 ms  15.500 ms
