traceroute to time.euro.apple.com (17.253.54.125), 64 hops max, 52 byte packets
 1 192.168.1.1  0.998 ms * *
 2 192.168.88.1  1.807 ms  1.850 ms  2.004 ms
 3 10.0.255.255  2.274 ms  2.313 ms  2.504 ms
 4 194.33.189.15  2.431 ms  2.543 ms  2.547 ms
 5 87.245.247.158  2.722 ms  2.833 ms  2.949 ms
 6 87.245.232.233  40.147 ms  40.202 ms  40.177 ms
 7 17.1.164.56  40.126 ms  40.059 ms  39.940 ms
 8 17.0.165.11  39.848 ms  39.738 ms  39.684 ms
 9 17.253.54.8  39.558 ms  39.598 ms  39.533 ms
10 17.253.54.125  39.535 ms  39.617 ms  39.683 ms
