traceroute to www.facebook.com (185.60.216.35), 64 hops max, 52 byte packets
 1 192.168.1.1  1.170 ms * *
 2 192.168.88.1  1.740 ms  1.868 ms  2.825 ms
 3 10.0.255.255  2.468 ms  2.524 ms  2.565 ms
 4 194.33.189.15  3.674 ms  3.713 ms  3.734 ms
 5 87.245.247.158  3.674 ms  3.727 ms  3.722 ms
 6 87.245.234.18  39.918 ms  39.892 ms  39.844 ms
 7 157.240.79.156  40.479 ms  40.548 ms  40.507 ms
 8 31.13.24.224  39.960 ms  39.916 ms  40.096 ms
 9 157.240.43.109  40.435 ms  40.385 ms  40.408 ms
10 157.240.38.125  34.551 ms  34.541 ms  34.475 ms
11 185.60.216.35  34.406 ms  34.344 ms  34.469 ms
