traceroute to www.facebook.com (185.60.216.35), 64 hops max, 52 byte packets
 1 * * *
 2 192.168.88.1  1.448 ms  1.832 ms  1.895 ms
 3 10.0.255.255  2.361 ms  2.311 ms  2.422 ms
 4 194.33.189.15  2.274 ms  2.272 ms  2.346 ms
 5 87.245.247.158  2.337 ms  2.387 ms  2.430 ms
 6 87.245.234.2  32.119 ms  32.124 ms  32.017 ms
 7 157.240.79.156  32.070 ms  32.117 ms  32.010 ms
 8 31.13.24.224  31.856 ms  31.869 ms  31.755 ms
 9 157.240.43.109  31.063 ms  31.137 ms  31.157 ms
10 157.240.38.125  30.457 ms  30.404 ms  30.311 ms
11 185.60.216.35  32.787 ms  32.914 ms  32.895 ms
